duplicate_candidate_id,canonical_candidate_id,duplicate_basis,duplicate_wave,canonical_wave,confidence
RESCAND-9b81b274bf5e181be1e4f532,RESCAND-453654bf8b7a10728f975a39,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-c21d58c696876a192336b465,RESCAND-90f76cd357d4b7fb710cdb06,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-b892af617e9c3812c69aa896,EXTCAND-a94cdd6d272489cc93836548,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-f702c4994bb60ad67cd62256,RESCAND-10f483dbf4a9deecabf635d0,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-16ab0814c358fa29dfb5e187,EXTCAND-7b991135fca7120035090d37,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-f326c7f773806e6adcc8551b,EXTCAND-71474694cf344c888e3dcd70,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-b952accb2cf099067f63e70c,RESCAND-78fd73ee6b7d8b374410876a,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-0491ce4c5143cf9d42b453b7,EXTCAND-88fece1d59259cc8d6fce01a,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-d757cee770f06d39d1479061,EXTCAND-3ff979fec8cf9b95a290c7b1,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-1601f2082dc84b48ec2bb422,EXTCAND-189271c5fe4adfc299021ede,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-af99902d2de86cd575cc5f83,RESCAND-af99902d2de86cd575cc5f83,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-5acd5aa187628a0128bbabc1,RESCAND-b6715ce9a75c2f0dd5f6fb4b,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-83caede3e5ac3acd11d3e1c1,EXTCAND-3a50c284386cf4d0bdf5a15a,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-c21d58c696876a192336b465,RESCAND-90f76cd357d4b7fb710cdb06,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-766a84f0c30e7b9807a64ee1,RESCAND-e0071e53f967bfedd0c76101,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-7ab18f3ec292c7e05f55b415,RESCAND-401f372c7f5c5182db157895,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-4c1eca4b429aa8a1662017da,EXTCAND-36a90086b830ea0646c038d0,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-99de8f3f061a11deee990cf7,EXTCAND-44106d6cec18c031c360bb5c,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-9d1aca8cf62b06799655c99b,RESCAND-79804e17a809717fbb7d320b,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-59ef1ac8de870dfe040696ac,EXTCAND-99f18ea209dfdc229cf886a9,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-b1f277bc5b54f195e94ae17f,EXTCAND-8a1beecc72869f0c2481c5e0,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-ab8cbf40de74d8c6fc57f5b9,RESCAND-1d3055318c1146ce952f609f,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-9853a02d5e28bdbe63a72114,RESCAND-3df07789afd654b94ede2c62,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-64def3ddfd18635268216b8a,RESCAND-14d76a15e2f110d27323f27c,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-6dbbbca68cbdb2d4e0d3c51a,EXTCAND-e6e6eea32978ec7f0b63e62b,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-68f85c7822cbeeed6dd4fefd,RESCAND-a7a057d57d3dcf75c18cdec0,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-c75c300855fe1ead30d38140,RESCAND-c9d568aee20548dfec13283e,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-745e671d43d8d2d866115e90,RESCAND-a99eb237dc80a31e3323116f,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-48073f60683c3dfe3395258b,RESCAND-495cd7be72f0b4b9b586a92c,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-4c1eca4b429aa8a1662017da,EXTCAND-36a90086b830ea0646c038d0,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-766a84f0c30e7b9807a64ee1,RESCAND-e0071e53f967bfedd0c76101,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-9853a02d5e28bdbe63a72114,RESCAND-3df07789afd654b94ede2c62,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-ac67cc224967c0e802a1b7b2,RESCAND-b8ede90eb0cee46113f9c7c4,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-706c484e13ea4093382ddd6b,RESCAND-3793b181e50a11d30da70636,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-c043b02eb64cd554ec5a7ee8,RESCAND-34f7d0bf432c0e537add82e8,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-109fda96c88642f56241268e,RESCAND-bd6fc5f778c775878b773d18,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-b50cd83753348d13835f6d53,RESCAND-150130f75524ce7f94bcda7c,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-9adafeed7e08ed4f9e9473ca,RESCAND-4d8515c182a4dd78f93bf1ff,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-ba08382ed207def2d9811c3d,RESCAND-02fefa55c34cae31b0e0a33c,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-49bb570f63c2c2fc5b57ebf5,RESCAND-ce33d71dfe471c6e2ad5e685,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-f917184eb271556a88b915d0,RESCAND-0461322a39b7f84a5c842d27,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-22ba08806232d39f6c3d52cc,EXTCAND-2996c365e52b29c06c0a028b,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-0ef2d7e7536a3143f011dfa8,EXTCAND-7c6ce90cf97570118bcc9ae9,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_001_compacted,high
RESCAND-e9b3a5cfe953de2848db92e8,RESCAND-f544f43241fa5d21ceadcef0,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-e41f80d938cf7391eda7cd27,RESCAND-36ecb0dd13ae750cabc9e725,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-8d7e6663925fccae5e3b851c,RESCAND-3686c0ca74a779e0381b12ab,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-a384d7c21394dee3d37887b1,RESCAND-055ce992c43c536b511481b3,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
RESCAND-a14099e5fd439ae1be05401c,RESCAND-c1e4f973b1149b9185d96442,same canonical URL across waves,external_search_wave_002_exhaustive_residual,external_search_wave_002_exhaustive_residual,high
