source_domain,reviewed_rows,source_review_ready,ready_high,ready_medium,ready_low,deferred_or_excluded,global_analysis_readiness
ci.selma.tx.us,2,2,2,0,0,0,false
ci.sisters.or.us,3,0,0,0,0,3,false
ci.stanley.wi.gov,2,0,0,0,0,2,false
ci.waitepark.mn.us,1,1,1,0,0,0,false
ci.waseca.mn.us,3,0,0,0,0,3,false
ci.washington.il.us,3,3,3,0,0,0,false
ci.west-point.ne.us,2,0,0,0,0,2,false
ci.wisner.ne.us,2,2,2,0,0,0,false
ci.wolf-point.mt.us,2,0,0,0,0,2,false
ci.woodland.wa.us,3,0,0,0,0,3,false
ci.yreka.ca.us,3,0,0,0,0,3,false
ci.zumbrota.mn.us,2,2,2,0,0,0,false
cieversonwa.civicweb.net,1,1,0,1,0,0,false
cigrovestx.com,2,0,0,0,0,2,false
cincinnati-oh.gov,3,3,3,0,0,0,false
cincinnatioh.legistar.com,1,1,1,0,0,0,false
citrusheights.net,1,1,0,1,0,0,false
city-of-bristow.squarespace.com,1,1,1,0,0,0,false
city-of-plymouth.paperturn-view.com,2,2,2,0,0,0,false
city.redfield-sd.com,2,2,0,2,0,0,false
citybudgets.tarrantcounty.com,1,1,0,1,0,0,false
citycouncildocuments.acfw.net,3,3,3,0,0,0,false
cityfortbragg.legistar.com,2,1,1,0,0,1,false
citykankakee-il.gov,1,1,0,1,0,0,false
citymedfordwi.civicweb.net,3,3,1,2,0,0,false
cityofabbeville.net,1,1,1,0,0,0,false
cityofabbotsfordwi.gov,1,0,0,0,0,1,false
cityofainsworth.com,2,2,1,1,0,0,false
cityofalachua.com,1,0,0,0,0,1,false
cityofallegan.org,1,1,1,0,0,0,false
cityofalliance.net,3,0,0,0,0,3,false
cityofaltonil.gov,1,1,0,1,0,0,false
cityofamericanfalls.com,1,1,1,0,0,0,false
cityofandrews.org,1,1,0,1,0,0,false
cityofangoon.org,2,2,0,2,0,0,false
cityofarco.municipalimpact.com,2,2,1,1,0,0,false
cityofardenhills.org,2,2,2,0,0,0,false
cityofargusville.com,2,2,1,1,0,0,false
cityofartesia.us,5,1,0,1,0,4,false
cityofasbury.community.diligentoneplatform.com,1,1,0,1,0,0,false
cityofasotin.org,1,1,1,0,0,0,false
cityofatchison.com,1,1,0,1,0,0,false
cityofathena.com,2,2,2,0,0,0,false
cityofathenstn.com,3,3,2,1,0,0,false
cityofathol.us,2,2,2,0,0,0,false
cityofaurora.org,1,1,1,0,0,0,false
cityofaurorasd.com,2,0,0,0,0,2,false
cityofavenal.com,1,1,1,0,0,0,false
cityofavenal.gov,3,2,2,0,0,1,false
cityofazle.org,4,4,2,2,0,0,false
cityofbakerla.com,1,1,0,1,0,0,false
cityofbanks.org,2,2,2,0,0,0,false
cityofbarnwell.com,2,2,1,1,0,0,false
cityofbasehor.org,1,1,1,0,0,0,false
cityofbayard.net,3,3,3,0,0,0,false
cityofbayminetteal.gov,3,0,0,0,0,3,false
cityofbeaufort.org,1,1,1,0,0,0,false
cityofbelington.com,2,2,1,1,0,0,false
cityofbelmont.civicweb.net,2,2,0,2,0,0,false
cityofbishopvillesc.com,1,0,0,0,0,1,false
cityofblackfoot.org,3,1,0,1,0,2,false
cityofblackjack.com,2,2,2,0,0,0,false
cityofblanchard.us,1,0,0,0,0,1,false
cityofbloomfield.org,1,0,0,0,0,1,false
cityofblythe.ca.gov,6,6,3,3,0,0,false
cityofblytheville.com,1,0,0,0,0,1,false
cityofbn.com,2,2,0,2,0,0,false
cityofboardman.com,1,1,1,0,0,0,false
cityofbolivar.com,2,2,1,1,0,0,false
cityofbondurant.com,2,0,0,0,0,2,false
cityofboonevillems.com,3,3,0,3,0,0,false
cityofbrevard.com,2,0,0,0,0,2,false
cityofbrokenbow.org,2,2,2,0,0,0,false
cityofbrookland.com,3,2,2,0,0,1,false
cityofbrooksville.us,2,0,0,0,0,2,false
cityofbuckley.com,3,1,1,0,0,2,false
cityofbuffalowy.com,3,3,1,2,0,0,false
cityofbuford.com,1,1,1,0,0,0,false
cityofbuhl.us,1,1,1,0,0,0,false
cityofbutler.org,1,1,0,1,0,0,false
cityofcalera.org,6,3,1,2,0,3,false
cityofcalhoun-ga.com,3,3,0,3,0,0,false
cityofcaliente.com,3,1,1,0,0,2,false
cityofcando.com,2,2,2,0,0,0,false
cityofcanyonville.com,3,3,3,0,0,0,false
cityofcapitola.gov,1,0,0,0,0,1,false
cityofcapitola.org,2,0,0,0,0,2,false
cityofcarey.org,3,3,2,1,0,0,false
cityofcarroll.com,2,2,2,0,0,0,false
