municipality,attempted_rows,retained_sources,excluded_or_deferred,retained_bytes,global_analysis_readiness
Ecorse,3,3,0,7393145,false
Edgemont,1,1,0,130290,false
Edgewood,1,1,0,1289686,false
Edinboro,2,2,0,1444933,false
Edinburgh,2,2,0,502602,false
Edison,2,2,0,1181837,false
Edmonston,1,1,0,132399,false
Edwardsville,4,4,0,2183889,false
Effingham,3,2,1,1525746,false
El Dorado,4,4,0,14097047,false
El Mirage,2,2,0,620636,false
El Paso,1,1,0,39401,false
El Reno,1,1,0,6435480,false
El Segundo,1,0,1,0,false
Eldon,1,1,0,67612,false
Eldridge,2,2,0,192080,false
Elgin,8,8,0,4913480,false
Elim,1,1,0,1360197,false
Eliot,2,2,0,60566,false
Elizabeth,1,1,0,541585,false
Elizabeth City,3,3,0,2243381,false
Elizabethton,2,2,0,1523116,false
Elk Mountain,2,2,0,3180190,false
Elk Ridge,2,2,0,74540325,false
Elkins,4,4,0,4104443,false
Elko New Market,1,1,0,1705819,false
Elkton,2,2,0,956377,false
Ellendale,4,4,0,631659,false
Ellettsville,4,4,0,4933065,false
Ellington,2,2,0,15453582,false
Ellsworth,6,5,1,7811945,false
Elm Grove,3,2,1,1322294,false
Elmhurst,2,2,0,2874302,false
Elmwood Park,1,1,0,172981,false
Elon,2,2,0,32620279,false
Elsmere,2,2,0,325527,false
Elwood,2,1,1,205114,false
Ely,2,2,0,4591446,false
Emerado,2,2,0,1726283,false
Emerson,2,2,0,16072506,false
Emmaus,1,1,0,419724,false
Emmetsburg,1,1,0,315044,false
Emmitsburg,3,2,1,6321482,false
Emporia,1,1,0,88848,false
Englewood,3,3,0,5324443,false
Ennis,5,5,0,5613592,false
Enoch,2,0,2,0,false
Enosburg Falls,1,1,0,235349,false
Enterprise,3,1,2,524007,false
Ephraim,1,0,1,0,false
Erath,2,2,0,3238202,false
Erda,2,0,2,0,false
Estancia,3,3,0,2307299,false
Estherville,2,2,0,45179384,false
Eudora,2,2,0,316251,false
Eunice,2,2,0,451780,false
Eureka,4,3,1,246614,false
Evans,3,2,1,215452,false
Evansdale,1,1,0,8369966,false
Evansville,5,5,0,2060765,false
Everson,3,3,0,3222389,false
Excelsior Springs,1,1,0,1548,false
Exeter,8,8,0,9930749,false
Exmore,2,2,0,172536,false
Fair Haven,6,3,3,1174283,false
Fair Oaks Ranch,2,2,0,34971012,false
Fairburn,1,1,0,327799,false
Fairbury,2,2,0,825941,false
Fairfax,3,3,0,10127069,false
Fairfield,11,10,1,6131060,false
Fairfield Bay,3,3,0,2261725,false
Fairhaven,4,4,0,4447691,false
Fairmont,2,1,1,865218,false
Fairmount Heights,1,1,0,216536,false
Fairport,1,1,0,443457,false
Fairview,5,5,0,13484352,false
Falls Church,1,0,1,0,false
Falls City,3,3,0,8112510,false
Fallsburg,1,0,1,0,false
Falmouth,2,2,0,901588,false
False Pass,2,2,0,1991237,false
Farmerville,2,2,0,29847338,false
Farmingdale,1,1,0,118978,false
Farmington,10,10,0,46430966,false
Farr West,2,0,2,0,false
Fate,1,1,0,110586,false
Faulkton,4,3,1,20398565,false
Fayetteville,9,9,0,47030705,false
Federal Heights,1,1,0,415617,false
Federal Way,1,1,0,114069,false
Ferriday,1,1,0,3776697,false
Ferrisburgh,4,3,1,957614,false
Ferron,2,1,1,2090499,false
Festus,4,4,0,4246790,false
Fillmore,2,2,0,5275482,false
Fircrest,3,1,2,2573306,false
Firebaugh,3,3,0,4085016,false
Firestone,2,2,0,248582,false
Flagler Beach,1,1,0,477660,false
Flandreau,3,3,0,258738,false
Flatwoods,1,0,1,0,false
Flemingsburg,1,1,0,6006417,false
Fletcher,2,2,0,2605097,false
Flint,2,2,0,297531,false
Florence,6,5,1,9528977,false
Flowery Branch,2,1,1,4829371,false
Floyd,1,1,0,126849,false
Folcroft,1,1,0,476436,false
Foley,2,1,1,6575292,false
Fontana,1,1,0,97805,false
Forest Acres,2,2,0,111268,false
Forest City,5,5,0,7317347,false
Forest Heights,1,1,0,356975,false
Forest Hill,1,0,1,0,false
Forest Hills,2,2,0,276194,false
Forest Park,2,1,1,3124895,false
Forks,3,3,0,467553,false
Forman,2,2,0,134699,false
Forney,6,3,3,321142,false
Forrest City,1,1,0,37647,false
Forsyth,4,4,0,1077494,false
Fort Benton,3,1,2,183113,false
Fort Bragg,1,0,1,0,false
Fort Calhoun,2,2,0,10439754,false
Fort Fairfield,3,3,0,2910032,false
Fort Kent,1,1,0,159603,false
Fort Laramie,1,1,0,256037,false
Fort Lupton,1,0,1,0,false
Fort Madison,2,2,0,831638,false
Fort Meade,3,3,0,126238754,false
Fort Mill,2,2,0,286288,false
Fort Mitchell,2,2,0,1424338,false
Fort Morgan,2,1,1,972057,false
Fort Oglethorpe,3,2,1,2388517,false
Fort Payne,3,3,0,1582130,false
Fort Pierre,2,2,0,419618,false
Fort Thomas,2,2,0,485200,false
Fort Wayne,3,3,0,20251394,false
Fort Wright,2,2,0,490445,false
Fort Yukon,1,1,0,1571787,false
Fortuna,2,2,0,2162708,false
Foster,3,3,0,5761042,false
Fountain,1,0,1,0,false
Fountain Hills,4,4,0,25297162,false
Fox Lake,3,3,0,754536,false
Foxborough,2,1,1,1615989,false
Francis,1,1,0,324633,false
Frankenmuth,2,2,0,6087683,false
Frankfort,4,4,0,729688,false
