canonical_candidate_id,canonical_locator_id,duplicate_group_role,duplicate_group_basis
RESCAND-91f402ff3b303f8a143e1f98,EXTLOC-42c7345553294ce3c42b021a,,
RESCAND-cb32ebf9bd2e7ad70b87cdcb,EXTLOC-88c995271660aacd581c0474,,
RESCAND-1df304609eb655428b21e946,EXTLOC-08159b681976b9eca97f7679,,
RESCAND-c349209b01f7339349650230,EXTLOC-8135413ca3acd666a1adf639,,
RESCAND-a6763e02519d2ebb5871e689,EXTLOC-1d749f1cee3cf5b9c9444f38,,
RESCAND-c91feb93e1ba2642ba9f7de9,EXTLOC-9a48b8ec41d0aa89ca928f55,,
RESCAND-25b32fbb89ae775d0ab45427,EXTLOC-5c9a75e3e3ee9aab0190d4f7,,
RESCAND-1004d4d315be05f8c4ea3936,EXTLOC-6c3100893d5e646c79655666,,
EXTCAND-86794a453e3e0e9bd2a55ef7,EXTLOC-7f0be14c34056e8fe4fce95d,,
RESCAND-66f5bdd08f7aae37e1d70833,EXTLOC-4a26e1f6fe19ed5d4363293f,,
RESCAND-5ce3bdc476b241598d1ebdf3,EXTLOC-bb0a16a9317c2603256e4be6,,
RESCAND-ce9096270381738bbd631d3f,EXTLOC-17b7b0d789b1944d97dd734d,,
RESCAND-b21d3ff30c2d10cb58e7dcd0,EXTLOC-9c9cbc6bcbbe1420e7670020,,
EXTCAND-1717493085fb8648a01df673,EXTLOC-36d44f0bc8685d47d820e1e8,,
RESCAND-7c2b717c41eaba30a2e3aa5b,EXTLOC-c9dd0ddf4035320954044bf1,,
RESCAND-8db7ba6784f2f6952a2f8603,EXTLOC-bd93b3bd5fc7d2b1cf53d924,,
EXTCAND-1e5aded9d3f5edb7ffd06bee,EXTLOC-11c990f9f946346451c29389,,
EXTCAND-8c1d375164b69d8d99bafa7b,EXTLOC-6614ff973609472bdb0a584c,,
RESCAND-22f49f4cf75940750e00d0db,EXTLOC-5a9d89a60321633fef32ed3b,,
EXTCAND-284d2f7e6fb7447115ff97b9,EXTLOC-790dab28b68c8ec7a91e7929,,
RESCAND-3bcc5640d1b1593d366ae940,EXTLOC-ee9b97da5e1d610ebdf6334b,,
EXTCAND-8676bfec7857202125b5c027,EXTLOC-5ced0206e3eaf921f6738388,,
RESCAND-96817e4f2b06dcc60525ce57,EXTLOC-9f28af2efb6ff8a7d17c419e,,
RESCAND-9faf2de95bd25f290cd34eec,EXTLOC-195c5c1bbaec6bf098d6f003,,
RESCAND-e0128daa1728a4e6aea3127a,EXTLOC-847b23e2bae95c82c31bb98d,,
RESCAND-8ed64e71eaae39eee5112d16,EXTLOC-ad7e52eb15eaa78b0b7588a0,,
RESCAND-8f4340c51c7458d4faffc85c,EXTLOC-af806e358d8cc68f071443f1,,
RESCAND-537bdb1421f57c42770fa563,EXTLOC-ede10530f0b3fa6e112c3d42,,
RESCAND-9adb941d095a82238d89d3c9,EXTLOC-e0b60bd50ac3f713c00372e5,,
EXTCAND-23896458c014bc9ed8163de1,EXTLOC-4b3e7ebb3494ac96769f88ca,,
RESCAND-8bad3f647da4504891a7917d,EXTLOC-26a907b42e1b71638522675d,,
EXTCAND-2bc546c4ef7abeb43e2e8a57,EXTLOC-8c39e3bcf62b9a82064d24f4,,
RESCAND-b9cbcc1cfbcf85469b602fd1,EXTLOC-ba53e62b2b0730f85837af9b,,
RESCAND-cdd8fa18e3a98187eb6316bf,EXTLOC-0e65d62683adb6bfb13ce0e0,,
RESCAND-d588881ef114a60769260a7a,EXTLOC-fabc865c26c09dc0b2c4b87d,,
RESCAND-c49ff4c2431a023ae0fc9275,EXTLOC-13e642e40b1a3e907b333238,,
EXTCAND-b639bf590841f5160444081a,EXTLOC-d0e643a1f6426557d2a5c0a4,,
